date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:44	318573/318573	---M--	200	added ('OK')	image/jpeg	etag:%224dc6d-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-room-detail-1.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-room-detail-1.jpg	(from https://preview.locotheme.com/grandium-html/rooms-detail.html)
19:03:44	303311/303311	---M--	200	added ('OK')	image/jpeg	etag:%224a0cf-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-room-detail-3.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-room-detail-3.jpg	(from https://preview.locotheme.com/grandium-html/rooms-detail.html)
19:03:44	152304/152304	---M--	200	added ('OK')	image/jpeg	etag:%22252f0-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-1.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-1.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:44	103633/103633	---M--	200	added ('OK')	image/jpeg	etag:%22194d1-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-6.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-6.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:44	68089/68089	---M--	200	added ('OK')	image/jpeg	etag:%22109f9-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-7.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-7.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:45	74315/74315	---M--	200	added ('OK')	image/jpeg	etag:%221224b-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-8.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-8.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:45	410468/410468	---M--	200	added ('OK')	image/jpeg	etag:%2264364-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-room-detail-2.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-room-detail-2.jpg	(from https://preview.locotheme.com/grandium-html/rooms-detail.html)
19:03:45	127580/127580	---M--	200	added ('OK')	image/jpeg	etag:%221f25c-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-9.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-9.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:46	186686/186686	---M--	200	added ('OK')	image/jpeg	etag:%222d93e-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-2.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-2.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:46	105686/105686	---M--	200	added ('OK')	image/jpeg	etag:%2219cd6-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-11.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-11.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:46	152933/152933	---M--	200	added ('OK')	image/jpeg	etag:%2225565-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-10.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-10.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:46	65707/65707	---M--	200	added ('OK')	image/jpeg	etag:%22100ab-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-13.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-13.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:47	104838/104838	---M--	200	added ('OK')	image/jpeg	etag:%2219986-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-12.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-12.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:47	69213/69213	---M--	200	added ('OK')	image/jpeg	etag:%2210e5d-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-14.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-14.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:47	141798/141798	---M--	200	added ('OK')	image/jpeg	etag:%22229e6-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-3.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-3.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:47	122490/122490	---M--	200	added ('OK')	image/jpeg	etag:%221de7a-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-15.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-15.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:47	138833/138833	---M--	200	added ('OK')	image/jpeg	etag:%2221e51-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-16.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-16.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:48	99283/99283	---M--	200	added ('OK')	image/jpeg	etag:%22183d3-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-17.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-17.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:48	118716/118716	---M--	200	added ('OK')	image/jpeg	etag:%221cfbc-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-gallery-4.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-gallery-4.jpg	(from https://preview.locotheme.com/grandium-html/gallery.html)
19:03:48	137055/137055	---M--	200	added ('OK')	image/jpeg	etag:%222175f-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-blog-big-1.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-blog-big-1.jpg	(from https://preview.locotheme.com/grandium-html/blog-single.html)
19:03:49	99197/99197	---M--	200	added ('OK')	image/jpeg	etag:%221837d-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/user-1.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/user-1.jpg	(from https://preview.locotheme.com/grandium-html/blog-single.html)
19:03:49	77329/77329	---M--	200	added ('OK')	image/jpeg	etag:%2212e11-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/user-3.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/user-3.jpg	(from https://preview.locotheme.com/grandium-html/blog-single.html)
19:03:49	118288/118288	---M--	200	added ('OK')	image/jpeg	etag:%221ce10-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/user-2.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/user-2.jpg	(from https://preview.locotheme.com/grandium-html/blog-single.html)
19:03:49	60113/60113	---M--	200	added ('OK')	image/jpeg	etag:%22ead1-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/user-4.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/user-4.jpg	(from https://preview.locotheme.com/grandium-html/blog-single.html)
19:03:50	72451/72451	---M--	200	added ('OK')	image/jpeg	etag:%2211b03-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-blog-big-2.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-blog-big-2.jpg	(from https://preview.locotheme.com/grandium-html/blog-single-gallery.html)
19:03:50	187284/187284	---M--	200	added ('OK')	image/jpeg	etag:%222db94-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-blog-big-3.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-blog-big-3.jpg	(from https://preview.locotheme.com/grandium-html/blog-single-gallery.html)
